sale_date,sale_price,square_ft,lat,long
1/24/18,254000,1117,33.7903038,-84.3994771
1/24/18,268000,2012,34.0478346,-84.20299
1/24/18,330000,838,33.7777998,-84.383904
1/24/18,377000,2760,34.0283541,-84.3561202
1/24/18,150000,1300,33.5600283,-84.6210428
1/24/18,153000,585,33.7790643,-84.3525177
1/24/18,196500,1302,34.0912836,-84.2800337
1/24/18,689468,1932,33.8499256,-84.3814838
1/24/18,909000,3872,33.8393181,-84.4127116
1/24/18,350000,1280,33.7307526,-84.3520072
1/24/18,640000,4066,33.7926926,-84.373652
1/24/18,510000,3530,33.9960553,-84.3008825
1/24/18,329300,1693,33.8144898,-84.3941498
1/24/18,541208,3296,34.0074721,-84.2949
1/24/18,523000,2452,34.034626,-84.1941763
1/24/18,439900,3084,34.071736,-84.1986245
1/24/18,243232,2300,33.7390886,-84.3973214
1/24/18,629000,4249,34.0825909,-84.3324708
1/25/18,437500,3396,34.0928842,-84.2086317
1/25/18,420000,2494,34.0876349,-84.3403165
1/25/18,195990,2303,33.631003,-84.539428
1/25/18,235000,1856,33.741963,-84.4973712
1/25/18,785000,2169,33.7878468,-84.3594216
1/25/18,175000,1440,33.7416075,-84.4368979
1/25/18,323000,2172,34.052813,-84.3776351
1/25/18,200000,1590,33.738503,-84.3860232
1/25/18,200000,1263,33.762035,-84.3764729
1/25/18,165000,784,33.8323391,-84.3829729
1/25/18,168000,949,33.8273195,-84.3533805
1/25/18,343500,2435,34.1147447,-84.265431
1/25/18,159000,773,33.9174942,-84.359405
1/25/18,435000,1369,33.790868,-84.3975795
1/25/18,409000,2112,34.0893601,-84.2928592
1/25/18,145000,1194,33.8929054,-84.378289
1/25/18,202850,2355,33.6234516,-84.5518256
1/25/18,279900,1825,34.0431562,-84.2113906
1/25/18,730000,2876,34.015177,-84.3613581
1/25/18,169195,2427,33.5391971,-84.528399
1/25/18,204123,3081,33.5384692,-84.5287942
1/25/18,408878,2080,34.0635123,-84.2783396
1/25/18,121000,812,33.8163791,-84.4231855
1/25/18,360700,1418,33.7401134,-84.4269298
1/25/18,125000,1620,33.7041543,-84.4450353
1/25/18,605000,3784,34.0116883,-84.2772985
1/26/18,381450,2764,34.0196112,-84.3943858
1/26/18,665000,3461,34.0121302,-84.3773272
1/26/18,178750,950,33.8490825,-84.3571439
1/26/18,505109,2224,34.0761511,-84.2898963
1/26/18,399900,2456,33.7966957,-84.4525655
1/26/18,238000,1568,33.7286727,-84.4939272
1/26/18,280000,1287,33.7362346,-84.4340652
1/26/18,355000,1958,33.7304821,-84.3625502
